City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.48,74,69,2.58,PN,1739146040
1,edinburgh of the seven seas,-37.0676,-12.3116,15.82,75,7,4.13,SH,1739146039
2,east ballina,-28.8667,153.5833,26.51,59,27,4.2,AU,1739146104
3,margaret river,-33.95,115.0667,21.18,75,88,4.5,AU,1739146105
4,massawa,15.6097,39.45,24.22,76,83,3.16,ER,1739146106
5,dehui,44.5333,125.7,-18.89,89,11,3.32,CN,1739146107
6,jamestown,42.097,-79.2353,-3.88,90,100,3.13,US,1739146108
7,kapuskasing,49.4169,-82.4331,-20.64,99,100,1.19,CA,1739146109
8,port-aux-francais,-49.35,70.2167,7.89,96,80,14.94,TF,1739146110
9,waitangi,-43.9535,-176.5597,17.68,89,35,2.68,NZ,1739146112
10,crane,31.3974,-102.3501,12.62,56,86,7.09,US,1739146113
11,san patricio,28.017,-97.5169,23.97,77,0,4.79,US,1739146114
12,puerto ayora,-0.7393,-90.3518,25.86,93,98,0.89,EC,1739146115
13,champerico,14.3,-91.9167,28.5,66,28,3.47,GT,1739146116
14,cabo san lucas,22.8909,-109.9124,25.17,25,0,2.57,MX,1739146117
15,lebu,-37.6167,-73.65,17.0,88,85,6.01,CL,1739146118
16,enewetak,11.3474,162.3373,27.11,78,48,8.5,MH,1739146119
17,talnakh,69.4865,88.3972,-19.56,100,99,2.99,RU,1739146120
18,revda,56.801,59.9303,-9.0,92,20,3.84,RU,1739146121
19,anna regina,7.2644,-58.5077,24.04,89,71,3.73,GY,1739146122
20,college,64.8569,-147.8028,-8.64,73,2,0.61,US,1739146123
21,st. john's,47.5649,-52.7093,-2.79,92,100,4.12,CA,1739146005
22,albany,42.6001,-73.9662,-8.13,92,47,1.89,US,1739146000
23,longyearbyen,78.2186,15.6401,-7.09,58,40,5.14,SJ,1739146115
24,udachny,66.4167,112.4,-25.88,99,93,2.64,RU,1739145857
25,puerto natales,-51.7236,-72.4875,9.33,76,93,0.68,CL,1739146129
26,ebaye,8.7748,167.7392,29.01,79,40,2.57,MH,1739146130
27,ketchikan,55.3422,-131.6461,1.26,64,75,2.57,US,1739146131
28,namanga,-2.5433,36.7905,20.12,72,61,2.58,KE,1739146132
29,aswan,24.0934,32.907,14.75,42,74,6.34,EG,1739146133
30,ust-nera,64.5667,143.2,-40.73,98,76,1.32,RU,1739146134
31,santa cruz de tenerife,28.4682,-16.2546,15.44,85,0,4.12,ES,1739146135
32,rio grande,-32.035,-52.0986,23.91,84,0,4.01,BR,1739146138
33,hithadhoo,-0.6,73.0833,27.15,77,15,4.04,MV,1739146139
34,portland,45.5234,-122.6762,7.27,71,100,0.89,US,1739145979
35,la passe,45.5549,-0.8967,9.41,97,99,3.08,FR,1739146142
36,kuching,1.55,110.3333,25.57,99,40,1.54,MY,1739145990
37,susuman,62.7833,148.1667,-41.55,99,81,0.28,RU,1739146144
38,hadibu,12.65,54.0333,23.57,79,34,3.1,YE,1739146146
39,la'ie,21.6477,-157.9253,28.36,71,37,2.68,US,1739146148
40,puerto maldonado,-12.6,-69.1833,24.22,94,0,1.03,PE,1739146149
41,constitucion,-35.3333,-72.4167,15.97,96,6,3.15,CL,1739146150
42,howard springs,-12.497,131.047,29.95,84,100,2.6,AU,1739146151
43,carutapera,-1.195,-46.02,24.15,94,100,2.78,BR,1739146152
44,villa gesell,-37.2639,-56.973,18.26,70,58,6.71,AR,1739145976
45,adrasmon,40.6472,69.9856,-0.66,69,99,3.23,TJ,1739146154
46,bethel,41.3712,-73.414,-0.61,97,70,1.09,US,1739146156
47,hammerfest,70.6634,23.6821,1.25,75,40,7.2,NO,1739146157
48,ataq,14.5377,46.8319,17.35,81,7,2.9,YE,1739146159
49,tiksi,71.6872,128.8694,-26.97,97,91,3.04,RU,1739146160
50,matoury,4.8483,-52.3317,25.98,89,20,1.54,GF,1739146161
51,bani walid,31.7566,13.9942,11.63,80,45,1.99,LY,1739146161
52,wailua homesteads,22.0669,-159.378,25.63,64,0,3.09,US,1739146164
53,dudinka,69.4058,86.1778,-13.88,97,100,4.16,RU,1739146165
54,yellowknife,62.456,-114.3525,-26.36,86,55,1.79,CA,1739146166
55,monrovia,6.3005,-10.7969,26.58,90,46,3.25,LR,1739146167
56,tazovsky,67.4667,78.7,-4.1,94,100,7.91,RU,1739146168
57,calliope,-24.0,151.2,30.94,65,75,7.2,AU,1739146169
58,vadso,70.0744,29.7487,0.09,80,20,13.38,NO,1739146170
